,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
303,0,NALCS,2016 Spring,TL,IMT,70.8,13.3,6.2,46.0,8.0,29.2,23.0,81.4,58.4,35.4,-11245,-3808,-1299,-2538,-1783,-1817,10,2,5,0,0,0
304,0,NALCS,2016 Spring,TIP,TL,15.0,19.5,83.2,21.2,29.2,76.1,57.5,20.4,29.2,35.4,-5602,-1477,-390,-1530,-970,-1235,9,2,4,1,0,0
305,0,NALCS,2016 Spring,FOX,TSM,15.0,19.5,46.0,61.9,76.1,10.6,57.5,81.4,45.1,58.4,-3835,-797,164,-1139,-1500,-563,3,2,3,1,0,0
306,0,NALCS,2016 Spring,IMT,CLG,13.3,46.9,46.0,6.2,8.8,21.2,57.5,20.4,25.7,29.2,-1264,-1814,-686,-776,1789,223,6,3,3,3,0,0
307,1,NALCS,2016 Spring,NRG,REN,70.8,46.9,61.9,36.3,8.0,15.0,20.4,81.4,35.4,45.1,-2314,390,-602,-723,-830,-549,2,1,4,5,0,1
308,1,NALCS,2016 Spring,C9,DIG,2.7,46.9,46.0,61.9,21.2,8.0,57.5,20.4,23.9,58.4,10051,2576,1887,1721,2608,1259,1,10,1,5,0,0
309,1,NALCS,2016 Spring,TIP,NRG,19.5,23.9,83.2,46.0,15.0,10.6,81.4,20.4,29.2,35.4,1872,1090,1319,-880,-383,726,5,4,3,4,0,0
310,0,NALCS,2016 Spring,C9,CLG,69.9,2.7,21.2,6.2,21.2,76.1,57.5,20.4,58.4,29.2,8,-1016,302,315,291,116,4,8,2,1,0,0
311,1,NALCS,2016 Spring,TL,TSM,19.5,77.9,21.2,61.9,69.9,10.6,57.5,20.4,35.4,58.4,9179,-183,2349,2367,3051,1595,1,10,1,6,0,0
312,1,NALCS,2016 Spring,REN,DIG,69.0,70.8,83.2,46.0,31.9,15.0,57.5,20.4,19.5,45.1,2497,501,1235,-23,571,213,3,1,2,4,0,0
313,1,NALCS,2016 Spring,IMT,FOX,2.7,46.9,46.0,61.9,6.2,29.2,20.4,57.5,25.7,58.4,6911,1845,1648,1003,1081,1334,4,8,2,6,0,0
314,0,NALCS,2016 Spring,REN,C9,69.0,26.5,61.9,46.0,8.0,7.1,20.4,76.1,45.1,23.9,4666,866,814,839,1332,815,2,7,2,4,0,0
315,1,NALCS,2016 Spring,IMT,NRG,77.9,70.8,36.3,61.9,76.1,29.2,57.5,14.2,25.7,45.1,1656,123,654,294,463,122,0,1,3,3,0,0
316,0,NALCS,2016 Spring,CLG,TL,1.8,19.5,46.0,21.2,21.2,76.1,81.4,57.5,29.2,45.1,-837,-386,-188,-567,-23,327,2,4,3,1,0,0
317,1,NALCS,2016 Spring,TSM,TIP,26.5,69.0,38.9,46.0,69.9,29.2,20.4,14.2,58.4,45.1,1859,-353,440,1259,602,-89,5,3,2,5,0,0
318,1,NALCS,2016 Spring,FOX,DIG,19.5,70.8,83.2,61.9,77.9,76.1,81.4,15.9,58.4,45.1,-2186,-953,-571,361,-275,-748,2,0,1,0,0,0
319,1,NALCS,2016 Spring,C9,TIP,26.5,69.0,46.0,61.9,7.1,21.2,15.9,14.2,23.9,35.4,4872,571,822,1693,928,858,6,8,1,4,0,0
320,1,NALCS,2016 Spring,NRG,TL,19.5,69.9,61.9,21.2,14.2,76.1,81.4,57.5,26.5,45.1,1085,649,112,313,-470,481,4,7,2,3,0,0
321,0,NALCS,2016 Spring,TSM,REN,26.5,69.0,61.9,46.0,69.9,31.9,15.9,23.0,45.1,29.2,-3345,-852,-1272,-788,182,-615,3,0,4,3,0,0
322,0,NALCS,2016 Spring,DIG,IMT,0.9,69.0,46.0,36.3,76.1,29.2,15.9,14.2,45.1,35.4,3200,-589,1151,229,925,1484,0,6,2,4,0,0
